[Wed May 13 21:26:46.039923 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:26:46.039953 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
[Wed May 13 21:26:46.039983 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   5. App\\Controllers\\Tasks->test() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:914
[Wed May 13 21:26:46.040013 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   6. App\\Entities\\Account->getAccountData() /Users/me/Sites/ytuber-ci4.local/app/Controllers/Tasks.php:21
[Wed May 13 21:26:46.040067 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   7. App\\Models\\AccountGoogleYoutubeModel->find() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:57
[Wed May 13 21:26:46.040095 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   8. CodeIgniter\\Database\\MySQLi\\Result->getFirstRow() /Users/me/Sites/ytuber-ci4.local/system/Model.php:383
[Wed May 13 21:26:46.040122 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP   9. CodeIgniter\\Database\\MySQLi\\Result->getResult() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:468
[Wed May 13 21:26:46.040149 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP  10. CodeIgniter\\Database\\MySQLi\\Result->getCustomResultObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:142
[Wed May 13 21:26:46.040177 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP  11. CodeIgniter\\Database\\MySQLi\\Result->fetchObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:195
[Wed May 13 21:26:46.040204 2020] [php7:notice] [pid 2540] [client 127.0.0.1:59977] PHP  12. mysqli_result->fetch_object() /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php:169
[Wed May 13 21:27:20.159962 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP Fatal error:  Class 'App\\Entities\\AccountsGoogleYoutube' not found in /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php on line 169
[Wed May 13 21:27:20.160129 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP Stack trace:
[Wed May 13 21:27:20.160163 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:27:20.160196 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
[Wed May 13 21:27:20.160227 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:27:20.160257 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
[Wed May 13 21:27:20.160287 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   5. App\\Controllers\\Tasks->test() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:914
[Wed May 13 21:27:20.160317 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   6. App\\Entities\\Account->getAccountData() /Users/me/Sites/ytuber-ci4.local/app/Controllers/Tasks.php:21
[Wed May 13 21:27:20.160346 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   7. App\\Models\\AccountGoogleYoutubeModel->find() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:57
